what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1289225512884
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1289225515956
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1289225516411
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1289225516760
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1289225516910
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289225517214
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289225528653
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1289225531306
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289225534431
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289225537876
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1289225543536
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1289225543667
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1289225544278
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289225545162
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289225573477
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289225574086
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289225586031
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1289225588280
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1289225588440
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1289225588561
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1289225589442
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289225593604
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289225596968
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289225599619
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289225602522
