what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.TypeHierarchy",1289215721938
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1289215726492
closed,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.TypeHierarchy",1289215726497
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1289215734363
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1289215734513
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1289215740180
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215749506
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215750053
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215765521
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1289215770318
started,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1289215786321
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1289215797994
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1289215798019
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1289215800997
started,bundle,org.eclipse.mylyn.wikitext.ui,1.1.2.v20090912-0400-e3x,"org.eclipse.mylyn.wikitext.ui",1289215810187
started,bundle,org.eclipse.mylyn.wikitext.core,1.1.2.v20090912-0400-e3x,"org.eclipse.mylyn.wikitext.core",1289215810214
started,bundle,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.ui",1289215811138
started,bundle,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.ui",1289215811789
started,bundle,org.eclipse.wst.xsl.ui,1.0.100.v200907172129,"org.eclipse.wst.xsl.ui",1289215812470
started,bundle,org.eclipse.wst.xsl.core,1.0.1.v200908101420,"org.eclipse.wst.xsl.core",1289215812493
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215820198
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1289215820253
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1289215820609
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1289215823025
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215825193
