what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289214624985
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1289214625218
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1289214625314
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200911141836,"org.eclipse.jst.common.project.facet.core",1289214625388
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1289214625460
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1289214625462
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289214628299
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1289214634535
started,bundle,org.eclipse.wst.validation.ui,1.2.104.v200904232035,"org.eclipse.wst.validation.ui",1289214634537
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1289214634558
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1289214634687
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200911302230,"org.eclipse.jst.j2ee.core",1289214634709
started,bundle,org.eclipse.jem,2.0.301.v201001252130,"org.eclipse.jem",1289214634717
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1289214634721
started,bundle,org.eclipse.jst.jee,1.0.201.v201002021055,"org.eclipse.jst.jee",1289214634870
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1289214634942
started,bundle,org.jboss.tools.common.model.ui,3.1.0.M2-N200907092133-H355,"org.jboss.tools.common.model.ui",1289214634970
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1289214635049
started,bundle,org.jboss.tools.common.verification,3.1.0.M2-N200907092133-H355,"org.jboss.tools.common.verification",1289214635812
started,bundle,org.jboss.tools.jst.web.verification,3.1.0.M2-N200907092133-H355,"org.jboss.tools.jst.web.verification",1289214636144
started,bundle,org.jboss.tools.jsf.verification,3.1.0.M2-N200907092133-H355,"org.jboss.tools.jsf.verification",1289214636195
started,bundle,org.jboss.tools.jsf,3.1.0.M2-N200907092133-H355,"org.jboss.tools.jsf",1289214636247
started,bundle,org.jboss.tools.jst.web.tiles,3.1.0.M2-N200907092133-H355,"org.jboss.tools.jst.web.tiles",1289214636250
started,bundle,org.jboss.tools.hibernate.xml,3.1.0.M2-N200907092133-H355,"org.jboss.tools.hibernate.xml",1289214636285
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1289214636316
