what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1289215200933
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215207116
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215241911
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215244330
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215305223
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1289215306112
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1289215306944
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215313159
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215314762
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215321086
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215331088
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1289215334797
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1289215345606
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1289215345641
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1289215349852
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1289215351127
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215355337
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215355423
started,bundle,org.eclipse.mylyn.java.tasks,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.tasks",1289215357141
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1289215357669
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1289215360676
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1289215360805
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215369928
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215370023
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1289215372496
